"date","hits","keyword","geo","time","gprop","category"
2020-05-31,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-07,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-14,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-21,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-06-28,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-05,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-12,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-19,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-07-26,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-02,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-09,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-16,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-23,8,"Extinction Rebellion","GB","today+5-y","web",0
2020-08-30,23,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-06,17,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-13,4,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-20,4,"Extinction Rebellion","GB","today+5-y","web",0
2020-09-27,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-04,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-11,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-18,2,"Extinction Rebellion","GB","today+5-y","web",0
2020-10-25,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-01,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-08,7,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-15,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-22,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-11-29,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-13,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-20,1,"Extinction Rebellion","GB","today+5-y","web",0
2020-12-27,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-03,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-10,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-17,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-24,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-01-31,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-02-07,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-02-14,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-02-21,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-02-28,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-03-07,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-03-14,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-03-21,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-03-28,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-04-04,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-04-11,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-04-18,4,"Extinction Rebellion","GB","today+5-y","web",0
2021-04-25,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-05-02,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-05-09,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-05-16,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-05-23,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-05-30,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-06-06,3,"Extinction Rebellion","GB","today+5-y","web",0
2021-06-13,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-06-20,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-06-27,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-07-04,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-07-11,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-07-18,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-07-25,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-08-01,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-08-08,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-08-15,4,"Extinction Rebellion","GB","today+5-y","web",0
2021-08-22,27,"Extinction Rebellion","GB","today+5-y","web",0
2021-08-29,15,"Extinction Rebellion","GB","today+5-y","web",0
2021-09-05,3,"Extinction Rebellion","GB","today+5-y","web",0
2021-09-12,7,"Extinction Rebellion","GB","today+5-y","web",0
2021-09-19,4,"Extinction Rebellion","GB","today+5-y","web",0
2021-09-26,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-10-03,3,"Extinction Rebellion","GB","today+5-y","web",0
2021-10-10,3,"Extinction Rebellion","GB","today+5-y","web",0
2021-10-17,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-10-24,4,"Extinction Rebellion","GB","today+5-y","web",0
2021-10-31,4,"Extinction Rebellion","GB","today+5-y","web",0
2021-11-07,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-11-14,2,"Extinction Rebellion","GB","today+5-y","web",0
2021-11-21,4,"Extinction Rebellion","GB","today+5-y","web",0
2021-11-28,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-12-05,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-12-12,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-12-19,1,"Extinction Rebellion","GB","today+5-y","web",0
2021-12-26,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-01-02,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-01-09,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-01-16,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-01-23,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-01-30,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-02-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-02-13,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-02-20,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-02-27,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-03-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-03-13,2,"Extinction Rebellion","GB","today+5-y","web",0
2022-03-20,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-03-27,2,"Extinction Rebellion","GB","today+5-y","web",0
2022-04-03,6,"Extinction Rebellion","GB","today+5-y","web",0
2022-04-10,11,"Extinction Rebellion","GB","today+5-y","web",0
2022-04-17,3,"Extinction Rebellion","GB","today+5-y","web",0
2022-04-24,2,"Extinction Rebellion","GB","today+5-y","web",0
2022-05-01,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-05-08,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-05-15,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-05-22,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-05-29,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-06-05,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-06-12,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-06-19,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-06-26,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-07-03,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-07-10,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-07-17,2,"Extinction Rebellion","GB","today+5-y","web",0
2022-07-24,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-07-31,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-08-07,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-08-14,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-08-21,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-08-28,5,"Extinction Rebellion","GB","today+5-y","web",0
2022-09-04,3,"Extinction Rebellion","GB","today+5-y","web",0
2022-09-11,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-09-18,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-09-25,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-10-02,2,"Extinction Rebellion","GB","today+5-y","web",0
2022-10-09,2,"Extinction Rebellion","GB","today+5-y","web",0
2022-10-16,3,"Extinction Rebellion","GB","today+5-y","web",0
2022-10-23,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-10-30,1,"Extinction Rebellion","GB","today+5-y","web",0
2022-11-06,1,"Extinction Rebellion","GB","today+5-y","web",0
2017-11-12,0,"Just Stop Oil","GB","today+5-y","web",0
2017-11-19,1,"Just Stop Oil","GB","today+5-y","web",0
2017-11-26,0,"Just Stop Oil","GB","today+5-y","web",0
2017-12-03,0,"Just Stop Oil","GB","today+5-y","web",0
2017-12-10,0,"Just Stop Oil","GB","today+5-y","web",0
2017-12-17,0,"Just Stop Oil","GB","today+5-y","web",0
2017-12-24,0,"Just Stop Oil","GB","today+5-y","web",0
2017-12-31,0,"Just Stop Oil","GB","today+5-y","web",0
2018-01-07,0,"Just Stop Oil","GB","today+5-y","web",0
2018-01-14,0,"Just Stop Oil","GB","today+5-y","web",0
2018-01-21,1,"Just Stop Oil","GB","today+5-y","web",0
2018-01-28,0,"Just Stop Oil","GB","today+5-y","web",0
2018-02-04,0,"Just Stop Oil","GB","today+5-y","web",0
2018-02-11,0,"Just Stop Oil","GB","today+5-y","web",0
2018-02-18,1,"Just Stop Oil","GB","today+5-y","web",0
2018-02-25,0,"Just Stop Oil","GB","today+5-y","web",0
2018-03-04,1,"Just Stop Oil","GB","today+5-y","web",0
2018-03-11,1,"Just Stop Oil","GB","today+5-y","web",0
2018-03-18,0,"Just Stop Oil","GB","today+5-y","web",0
2018-03-25,0,"Just Stop Oil","GB","today+5-y","web",0
2018-04-01,0,"Just Stop Oil","GB","today+5-y","web",0
2018-04-08,0,"Just Stop Oil","GB","today+5-y","web",0
2018-04-15,0,"Just Stop Oil","GB","today+5-y","web",0
2018-04-22,0,"Just Stop Oil","GB","today+5-y","web",0
2018-04-29,1,"Just Stop Oil","GB","today+5-y","web",0
2018-05-06,0,"Just Stop Oil","GB","today+5-y","web",0
2018-05-13,0,"Just Stop Oil","GB","today+5-y","web",0
2018-05-20,0,"Just Stop Oil","GB","today+5-y","web",0
2018-05-27,0,"Just Stop Oil","GB","today+5-y","web",0
2018-06-03,0,"Just Stop Oil","GB","today+5-y","web",0
2018-06-10,0,"Just Stop Oil","GB","today+5-y","web",0
2018-06-17,0,"Just Stop Oil","GB","today+5-y","web",0
2018-06-24,1,"Just Stop Oil","GB","today+5-y","web",0
2018-07-01,0,"Just Stop Oil","GB","today+5-y","web",0
2018-07-08,0,"Just Stop Oil","GB","today+5-y","web",0
2018-07-15,1,"Just Stop Oil","GB","today+5-y","web",0
2018-07-22,0,"Just Stop Oil","GB","today+5-y","web",0
2018-07-29,0,"Just Stop Oil","GB","today+5-y","web",0
2018-08-05,0,"Just Stop Oil","GB","today+5-y","web",0
2018-08-12,0,"Just Stop Oil","GB","today+5-y","web",0
2018-08-19,1,"Just Stop Oil","GB","today+5-y","web",0
2018-08-26,0,"Just Stop Oil","GB","today+5-y","web",0
2018-09-02,0,"Just Stop Oil","GB","today+5-y","web",0
2018-09-09,0,"Just Stop Oil","GB","today+5-y","web",0
2018-09-16,1,"Just Stop Oil","GB","today+5-y","web",0
2018-09-23,0,"Just Stop Oil","GB","today+5-y","web",0
2018-09-30,0,"Just Stop Oil","GB","today+5-y","web",0
2018-10-07,0,"Just Stop Oil","GB","today+5-y","web",0
2018-10-14,0,"Just Stop Oil","GB","today+5-y","web",0
2018-10-21,1,"Just Stop Oil","GB","today+5-y","web",0
2018-10-28,0,"Just Stop Oil","GB","today+5-y","web",0
2018-11-04,0,"Just Stop Oil","GB","today+5-y","web",0
2018-11-11,0,"Just Stop Oil","GB","today+5-y","web",0
2018-11-18,1,"Just Stop Oil","GB","today+5-y","web",0
2018-11-25,0,"Just Stop Oil","GB","today+5-y","web",0
2018-12-02,0,"Just Stop Oil","GB","today+5-y","web",0
2018-12-09,0,"Just Stop Oil","GB","today+5-y","web",0
2018-12-16,1,"Just Stop Oil","GB","today+5-y","web",0
2018-12-23,0,"Just Stop Oil","GB","today+5-y","web",0
2018-12-30,0,"Just Stop Oil","GB","today+5-y","web",0
2019-01-06,0,"Just Stop Oil","GB","today+5-y","web",0
2019-01-13,0,"Just Stop Oil","GB","today+5-y","web",0
2019-01-20,1,"Just Stop Oil","GB","today+5-y","web",0
2019-01-27,0,"Just Stop Oil","GB","today+5-y","web",0
2019-02-03,1,"Just Stop Oil","GB","today+5-y","web",0
2019-02-10,1,"Just Stop Oil","GB","today+5-y","web",0
2019-02-17,1,"Just Stop Oil","GB","today+5-y","web",0
2019-02-24,0,"Just Stop Oil","GB","today+5-y","web",0
2019-03-03,1,"Just Stop Oil","GB","today+5-y","web",0
2019-03-10,1,"Just Stop Oil","GB","today+5-y","web",0
2019-03-17,0,"Just Stop Oil","GB","today+5-y","web",0
2019-03-24,0,"Just Stop Oil","GB","today+5-y","web",0
2019-03-31,0,"Just Stop Oil","GB","today+5-y","web",0
2019-04-07,0,"Just Stop Oil","GB","today+5-y","web",0
2019-04-14,0,"Just Stop Oil","GB","today+5-y","web",0
2019-04-21,0,"Just Stop Oil","GB","today+5-y","web",0
2019-04-28,0,"Just Stop Oil","GB","today+5-y","web",0
2019-05-05,0,"Just Stop Oil","GB","today+5-y","web",0
2019-05-12,0,"Just Stop Oil","GB","today+5-y","web",0
2019-05-19,1,"Just Stop Oil","GB","today+5-y","web",0
2019-05-26,0,"Just Stop Oil","GB","today+5-y","web",0
2019-06-02,0,"Just Stop Oil","GB","today+5-y","web",0
2019-06-09,1,"Just Stop Oil","GB","today+5-y","web",0
2019-06-16,0,"Just Stop Oil","GB","today+5-y","web",0
2019-06-23,1,"Just Stop Oil","GB","today+5-y","web",0
2019-06-30,0,"Just Stop Oil","GB","today+5-y","web",0
2019-07-07,0,"Just Stop Oil","GB","today+5-y","web",0
2019-07-14,0,"Just Stop Oil","GB","today+5-y","web",0
2019-07-21,0,"Just Stop Oil","GB","today+5-y","web",0
2019-07-28,0,"Just Stop Oil","GB","today+5-y","web",0
2019-08-04,0,"Just Stop Oil","GB","today+5-y","web",0
2019-08-11,1,"Just Stop Oil","GB","today+5-y","web",0
2019-08-18,0,"Just Stop Oil","GB","today+5-y","web",0
2019-08-25,0,"Just Stop Oil","GB","today+5-y","web",0
2019-09-01,0,"Just Stop Oil","GB","today+5-y","web",0
2019-09-08,0,"Just Stop Oil","GB","today+5-y","web",0
2019-09-15,0,"Just Stop Oil","GB","today+5-y","web",0
2019-09-22,0,"Just Stop Oil","GB","today+5-y","web",0
2019-09-29,0,"Just Stop Oil","GB","today+5-y","web",0
2019-10-06,0,"Just Stop Oil","GB","today+5-y","web",0
