"","data_id","iso","event_id_cnty","event_id_no_cnty","day","month","year","time_precision","event_type","sub_event_type","actor1","inter1","actor2","assoc_actor_2","inter2","interaction","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","timestamp","iso3","event_code_per_group","action_group","date","climate","climate_protest"
"1476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1480",7494375,826,"GBR2283",2283,26,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Greater Manchester","Wigan","Leigh",53.4956,-2.5193,1,"The Echo","Subnational","On 26 November 2020, Extinction Rebellion campaigners holding up banners in Leigh town center to boycott online shopping on Amazon on Black Friday and support small businesses. [size=no report]",0,1618494557,"GBR",1,"Extinction Rebellion","2020-11-26","Y","Y"
"1481",7494377,826,"GBR2282",2282,26,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Essex","Basildon","Basildon",51.575,0.4748,1,"The Echo","Subnational","On 26 November 2020, Extinction Rebellion campaigners held up banners outside Amazon in Basildon calling for people to boycott online shopping on Amazon on Black Friday and support 'green jobs'. [size=no report]",0,1618494559,"GBR",1,"Extinction Rebellion","2020-11-26","Y","Y"
"1482",7494378,826,"GBR2281",2281,26,11,2020,1,"Protests","Peaceful protest","Protesters (United Kingdom)",6,"","",0,60,"Europe","United Kingdom","England","Essex","Rochford","Rochford",51.5839,0.7056,1,"The Echo","Subnational","On 26 November 2020, Extinction Rebellion campaigners hold up banners at London Southend airport in Rochford calling for people to boycott online shopping on Amazon on Black Friday. They also demanded Amazon cargo flights to be scrapped to help 'save the planet'. [size=no report]",0,1618494559,"GBR",1,"Extinction Rebellion","2020-11-26","Y","Y"
"1483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
